"AMbeRland","BMDSLab","DAGroup","DUTeam","ELTEcomplex","fengcheng","GZCDC","IGIB","msinkala","RaghavaIndia","TeamBelgrade","TeamZO","yuanfangguan","label"
0.000743997531827768,0.340717886185299,0.23320212416693,0.4107,0.38,0.119702359001287,0.201168790459633,0.27264,0.366666666666667,0.3727,0.5797478556633,0.402311770593747,1,1
0.0126426503149728,0.578353066667001,0.472887105291733,0.3615,0.66,0.213889557026052,0.201168790459633,0.63482,0.7,0.508,0.156517863273621,0.425958333333333,0.472478139667695,1
0.997688024400906,0.584262880352778,0.476706652567771,0.4555,0.35,0.246428105874238,0.201168790459633,0.29862,0.133333333333333,0.0559,0.392854362726212,0.0936218984503868,0.0161378591919495,1
0.211982940711833,0.621550695754624,0.277649965137483,0.349,0.29,0.229262952344774,0.201168790459633,0.235,0.0666666666666667,0.2913,0.0457890033721924,0.250903012684989,0.184743990264933,1
0.00970166481981547,0.408628737395819,0.0902646550723667,0.3713,0.66,0.171921389896008,0.201168790459633,0.92062,0.166666666666667,0.2748,0.617309868335724,0.219795058139535,0,1
0.403030418121056,0.56259759602563,0.212316602556255,0.3952,0.37,0.250373577033515,0.201168790459633,0.61134,0.133333333333333,0.4825,0.586579382419586,0.470428779069767,0.803220282313572,1
0.73216305610453,0.471675470096729,0.263212824118436,0.3808,0.49,0.156723676070698,0.201168790459633,0.63006,0.266666666666667,0.6919,0.348792672157288,0.307330772425249,0.944242664539042,1
0.0778733390797404,0.487933623118134,0.190452549214136,0.4357,0.4,0.226715775481987,0.6501424908638,0.33876,0.266666666666667,0.8182,0.0391968786716461,0.540928779069767,0.237733650982272,1
0.409744243563275,0.557046619986632,0.734942022923205,0.3798,0.39,0.176651051104045,0.6501424908638,0.55308,0.7,0.5555,0.337917059659958,0.497345445736434,0.522461639847137,1
0.173037292719737,0.496431576951967,0.61005613519397,0.4291,0.37,0.25322624287713,0.201168790459633,0.40444,0.3,0.2092,0.172859311103821,0.245512112403101,0.848356121871401,1
0.764393999858641,0.499899192769896,0.435858331562842,0.4047,0.39,0.133101792421478,0.201168790459633,0.36952,0.533333333333333,0.4519,0.488220781087875,0.393621086762075,0.694500687347787,1
0.0443885319218113,0.620656012270736,0.523841939932208,0.3959,0.48,0.34700626260982,0.6501424908638,0.24376,0.566666666666667,0.3998,0.426727831363678,0.388620753761742,0.695561580347131,1
0.538815740278669,0.513164255783106,0.779881322641662,0.371,0.38,0.26940344255014,0.6501424908638,0.17034,0.4,0.9672,0.772575736045837,0.349361554143531,0.790625143350176,1
0.00460768353551499,0.496219808998659,0.447967301196608,0.396,0.51,0.257199951278521,0.6501424908638,0.81372,0.166666666666667,0.6301,0.186182379722595,0.703691495519984,0.371150108315787,0
0.960265081905569,0.584252582421933,0.749258821084739,0.38,0.33,0.251472295768365,0.6501424908638,0.6788,0.3,0.8058,0.244081407785416,0.418125,0.349827139965163,0
0.330458104302011,0.431237658886705,0.176173734670486,0.4031,0.47,0.324236190581586,0.6501424908638,0.59898,0.666666666666667,0.9676,0.360292553901672,0.616361138861139,0.553698177521872,0
0.932869180945414,0.545457314591429,0.294146334667295,0.3707,0.41,0.351024592212947,0.201168790459633,0.05776,0.133333333333333,0.2896,0.259076654911041,0.172375415282392,0.431627598203,0
0.481486886412637,0.59055598242764,0.214647453705564,0.4311,0.37,0.37359372821473,0.201168790459633,0.52592,0.166666666666667,0.5274,0.371713280677795,0.512692244286721,0.808331210869125,0
0.731273239040363,0.575346263123026,0.878172541268187,0.344,0.66,0.311554291004204,0.6501424908638,0.92238,0.566666666666667,0.888,0.599554002285004,0.616553446553447,0.501838549802135,0
0.908718168570654,0.572426380442808,0.304574749440765,0.4439,0.4,0.292529877343189,0.6501424908638,0.6149,0.166666666666667,0.7591,0.47195091843605,0.622455564784053,0.865127198007681,0
0.172191200064893,0.501384690196301,0.580975975252801,0.404,0.53,0.295835072001863,0.201168790459633,0.2844,0.333333333333333,0.2698,0.241776257753372,0.457565079784557,0.481934054387396,0
0.00661887969024443,0.469905878016536,0.159453236271016,0.3832,0.59,0.366782679482635,0.201168790459633,0.04526,0.166666666666667,0.1796,0.108362793922424,0.129226480883458,0.681568498031002,0
0.0519811172218806,0.627775167937745,0.593256383580926,0.4264,0.27,0.125941227982136,0.201168790459633,0.02528,0.433333333333333,0.4454,0.328135192394257,0.283290729619218,0.320925034444601,0
0.0465263268052177,0.524528032520113,0.608955800192563,0.3946,0.51,0.140525800893547,0.6501424908638,0.88776,1,0.5758,0.610603511333466,0.721644896285885,0.835321441148729,0
0.449472684245917,0.53254192840854,0.176086426820855,0.3641,0.6,0.232377940353781,0.201168790459633,0.1662,0.1,0.407,0,0.262134615384615,0.608380487565085,0
0.00423374868534038,0.470170773218027,0.75547509798707,0.3867,0.64,0.278023203725925,0.6501424908638,0.9576,0.633333333333333,0.3767,0.364932626485825,0.63091194174043,0.183512126445901,0
0.58480989624322,0.516822367066712,0.467971940783938,0.4103,0.32,0.373197324866439,0.201168790459633,0.27474,0.2,0.628,0.246131598949432,0.247790729619218,0.8320566311281,0
0.786853525835673,0.594011513487963,0.481937052566672,0.3727,0.42,0.320424421118457,0.201168790459633,0.08478,0.1,0.1476,0.31002214550972,0.444678779069767,0.224469175557188,0
0.0675793016125559,0.471377558934519,0.325321395104825,0.4341,0.48,0.333921789057121,0.201168790459633,0.64582,0.266666666666667,0.6544,0.27698677778244,0.459416541791542,0.446466034045362,0
